code,name,dem_2020,rep_2020,other_2020,reg_2020,dem_2016,rep_2016,other_2016,reg_2016,dem_2012,rep_2012,other_2012,reg_2012,dem_2008,rep_2008,other_2008,reg_2008,rep_2004,dem_2004,other_2004,reg_2004
VA_121,Surry County,2397,2025,49,5597,2272,1819,137,5515,2576,1671,61,5533,2626,1663,36,5417,1543,1954,25,4829
VA_122,Sussex County,2827,2219,42,7026,2879,2055,110,7151,3358,2021,61,7244,3301,2026,36,7078,1890,2420,35,6617
VA_123,Tazewell County,3205,16731,198,28367,2895,15168,503,28378,3661,13843,237,29062,5596,11201,264,28360,10039,7184,257,28051
VA_124,Virginia Beach City,117393,105087,5081,322921,91032,98224,14006,309458,94299,99291,3308,303793,98885,100319,2045,288151,103752,70666,1269,264619
VA_125,Warren County,6603,14069,475,28726,5169,11773,1018,25377,6452,9869,377,24715,6997,8879,250,22973,8600,5241,227,20297
VA_126,Washington County,6617,21679,389,38392,5553,19320,974,37011,7076,18141,415,36730,8063,16077,360,35109,14749,7339,426,32776
VA_127,Waynesboro City,4961,5507,249,14642,3764,4801,639,13161,3840,4790,161,12713,3906,4815,139,12277,5092,2792,79,11423
VA_128,Westmoreland County,4501,5318,114,13423,3836,4448,290,12125,4295,3731,94,11968,4577,3719,81,11359,3433,3370,45,10143
VA_129,Williamsburg City,4790,1963,130,10265,5206,1925,495,11966,4903,2682,163,11277,4328,2353,106,8819,2064,2216,40,6213
VA_130,Winchester City,6610,5221,275,17594,5164,4790,713,15940,5094,4946,265,15501,5268,4725,133,15018,5283,3967,93,14076
VA_131,Wise County,3110,13366,139,24121,2701,12086,376,24017,3760,11076,182,24280,4995,8914,229,23480,8330,5802,180,24066
VA_132,Wythe County,3143,11733,196,20304,2770,10046,527,19173,3783,8324,286,19062,4107,8207,177,18273,7911,3581,62,17277
VA_133,York County,17683,20241,863,49034,12999,18837,2282,45789,13183,20204,566,46856,13700,19833,364,44626,19396,10276,208,39954
